Id,SalePrice
1461,186532.87965378372
1462,191945.03185069497
1463,187418.81841059614
1464,179536.92417146493
1465,163913.2119091752
1466,179581.94018217648
1467,179080.68369871727
1468,176312.14085867396
1469,183574.1000406519
1470,179940.08026684684
1471,165658.60541540026
1472,153477.62397203303
1473,153477.62397203303
1474,154705.33335507527
1475,158337.36512785833
1476,185429.9292100677
1477,189113.1155404775
1478,186324.16905866654
1479,191648.33541645974
1480,192012.55586676227
1481,187050.50559568347
1482,168265.44167205997
1483,200594.2444542276
1484,160225.99139543832
1485,184518.3259025173
1486,176670.22276206128
1487,194791.21325576483
1488,181141.1892799232
1489,181607.71884547922
1490,184114.29216919048
1491,183510.61020791167
1492,181896.72755074967
1493,194283.81822539042
1494,186013.09116701278
1495,181902.31091612633
1496,163565.36091731323
1497,157232.36850183725
1498,156618.51381031613
1499,155245.52548361386
1500,155245.52548361386
1501,156137.66096862458
1502,154957.01377859895
1503,189051.73007132538
1504,174218.89636058692
1505,179121.60734481868
1506,184147.03108607163
1507,181200.47038548716
1508,198572.06115527946
1509,178763.46726014832
1510,182395.49903293134
1511,183009.35372445246
1512,182559.19361733698
1513,178993.6336788272
1514,183528.47066711873
1515,179925.20180917278
1516,195549.84989069047
1517,180135.65190518423
1518,173311.88241790218
1519,179524.70525891756
1520,179223.9164600722
1521,184697.45412613556
1522,183279.44978872174
1523,177179.2251557683
1524,185157.8451447764
1525,185045.30511799752
1526,175117.49284891915
1527,178004.88880650574
1528,176528.53918275592
1529,178374.750803468
1530,182722.8882017426
1531,169849.80013900608
1532,171021.2685993004
1533,174630.23718518912
1534,174600.78695125182
1535,184277.43157205757
1536,176886.62108614322
1537,181602.07729881952
1538,177855.45931695253
1539,176627.7499339103
1540,165823.73281928935
1541,179819.79432982014
1542,171957.3679132286
1543,173704.00392009242
1544,172075.05248641167
1545,172305.2189050906
1546,172305.2189050906
1547,173041.84453491593
1548,172305.2189050906
1549,172796.30265830748
1550,172796.30265830748
1551,174366.77666809055
1552,176589.92465190802
1553,184607.8609236849
1554,164489.7965002326
1555,193983.02942654508
1556,181783.1353421767
1557,167573.21869012454
1558,172307.26508739564
1559,171407.93887367568
1560,159691.32445099333
1561,178439.61527440863
1562,178712.3708838046
1563,178777.84871756684
1564,171586.9507347278
1565,182092.60587049788
1566,203802.658308578
1567,180789.74292370657
1568,194073.00326668512
1569,198087.11594897776
1570,186240.27558415863
1571,179159.92962707646
1572,182242.03536005106
1573,198529.64650841153
1574,185669.390721044
1575,187265.41291899892
1576,184412.9766044477
1577,177812.05066957363
1578,189155.53018734543
1579,179572.95177128987
1580,178225.32131391478
1581,193935.96723352847
1582,178057.59254618207
1583,184009.9368716319
1584,178303.07624150746
1585,162746.88799528507
1586,179803.48305266263
1587,180844.49284568796
1588,183304.0039763826
1589,184156.7068160584
1590,170205.28067854978
1591,175868.17747975673
1592,171774.26368756633
1593,177988.51934806517
1594,171128.60589839204
1595,180160.51277425588
1596,181414.82252726407
1597,188316.5372609835
1598,197501.35262818908
1599,161666.5037382079
1600,161666.5037382079
1601,178528.71147660376
1602,178730.23134301166
1603,179670.48120283306
1604,161470.07023692114
1605,181730.4316025004
1606,176988.37501985818
1607,182505.37951458353
1608,187093.533605373
1609,182810.87404086062
1610,179176.7960857725
1611,194058.7381718327
1612,183447.23673773752
1613,187050.56377696653
1614,158570.62991063634
1615,153060.20278179867
1616,153927.78407914852
1617,153907.32225609783
1618,176979.25447140995
1619,189121.3002696978
1620,172151.69705092724
1621,180553.87677708492
1622,181603.07129933054
1623,182992.9842660119
1624,185640.68598748997
1625,189368.8883286113
1626,183623.20841597358
1627,179948.20681478406
1628,183248.69887286265
1629,174492.0326076723
1630,168601.01557009152
1631,168772.89488371744
1632,170068.128282827
1633,175562.1859532241
1634,174466.48441950043
1635,177132.65996300717
1636,177586.97061601587
1637,183469.68656181026
1638,186232.0326736553
1639,185112.82913406484
1640,184468.22352668463
1641,185440.2183028761
1642,173443.39326696523
1643,174466.48441950043
1644,176451.28125541873
1645,181931.01564968037
1646,183500.43747766936
1647,185362.46337528343
1648,178773.7563529567
1649,180165.1603204046
1650,177153.17996734096
1651,181167.7896498891
1652,153477.62397203303
1653,153477.62397203303
1654,154762.62645961726
1655,158337.36512785833
1656,154846.51993412516
1657,154877.2126687012
1658,154877.2126687012
1659,157977.23704216594
1660,184666.7613915595
